filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,62.5,2.73538096727,0.298,0.239,-48.330,-77.4256446873,3.62671611642,-13,-65.353,-200.091,-475.44,682.618,-2742.479,813.060825312,15.2200943051,6.49450299009,-39.3414647129,0.0,23.033,-111.099,-311.584,9.7084169277,-1.98748763209,38.14,-1703.34115253,-5.889,1540.592,54.0,-32.392,449,-47.680,561.143,-2662.69246602,282.452,60.812,0,9.33064880539,-61.735
50_sugar_small_moves_375.pdb,87.5,1.65324246721,0.294,0.239,-48.330,64.5554316428,3.90325401125,-7,-65.112,-200.091,-475.17,683.559,-2746.948,414.642741804,9.28573655748,7.29917049795,-40.4236032129,0.0,32.707,-111.099,-312.815,6.30786877999,-7.92184537976,59.79,-2101.75923604,-5.889,1543.867,74.0,-32.392,455,-48.536,552.487,-2520.71138969,283.816,60.812,0,4.70721448963,-61.735
50_sugar_small_moves_109.pdb,62.5,4.82755932999,0.299,0.271,-48.330,-307.272777907,22.3619393877,-11,-64.913,-200.091,-456.71,682.679,-2746.948,427.293043363,15.0030110484,6.06328069,-37.2492863501,0.0,35.793,-111.099,-312.455,12.8618166808,-2.2045708888,32.99,-2089.10893448,-5.889,1545.985,62.0,-32.392,451,-47.558,552.351,-2892.53959924,296.510,60.812,0,13.6464408595,-61.735
50_sugar_small_moves_137.pdb,75.0,5.51820205257,0.298,0.239,-48.330,-95.224023707,32.1701171645,-10,-65.583,-200.091,-446.9,681.025,-2738.440,870.468769088,16.8434155871,7.89103097857,-36.5586436276,0.0,46.270,-111.099,-312.316,11.0192804851,-0.364166350181,35.05,-1645.93320876,-5.889,1542.243,82.0,-32.392,452,-48.289,553.521,-2680.49084504,292.855,60.812,0,10.8362958531,-61.735
50_sugar_small_moves_206.pdb,87.5,2.29163965795,0.298,0.239,-48.330,14.5490181026,-6.08097313319,-9,-65.095,-200.091,-485.15,682.625,-2743.106,865.533133103,11.3195651028,5.68224970365,-39.7852060222,0.0,27.654,-111.099,-312.312,6.91917380305,-5.88801683445,44.33,-1650.86884474,-5.889,1537.280,76.0,-32.392,453,-48.810,552.587,-2570.71780323,282.212,60.812,0,5.81798783314,-61.735
50_sugar_small_moves_550.pdb,75.0,1.81754812501,0.298,0.239,-48.330,20.4087244771,-14.1644666795,-12,-65.847,-200.091,-493.24,682.618,-2741.295,815.5655512,9.52454064546,4.77526801457,-40.2592975551,0.0,24.452,-111.099,-311.684,5.02304796346,-7.68304129178,44.33,-1700.83642665,-5.889,1532.928,58.0,-32.392,450,-48.644,552.644,-2564.85809686,279.779,60.812,0,5.56336509011,-61.735
50_sugar_small_moves_615.pdb,62.5,2.08294567098,0.294,0.708,-48.330,-147.056261084,20.053688402,-10,-65.736,-200.091,-459.02,682.016,-2744.973,639.377728075,13.8167304844,6.06661793533,-39.9939000091,0.0,33.703,-111.099,-313.043,7.04096764059,-3.39085145284,45.36,-1877.02424977,-5.889,1546.722,58.0,-32.392,452,-47.761,556.875,-2732.32308242,290.901,60.812,0,6.85981105278,-61.735
50_sugar_small_moves_65.pdb,75.0,2.24694507191,0.296,0.239,-48.330,5.43320996153,-6.52655985131,-12,-64.708,-200.091,-485.6,680.686,-2741.663,768.271363803,12.5465502793,5.44102275229,-39.8299006082,0.0,24.720,-111.099,-311.774,6.0911545071,-4.66103165793,42.27,-1748.13061404,-5.889,1538.334,86.0,-32.392,450,-48.678,552.442,-2579.83361137,283.233,60.812,0,5.49178077281,-61.735
50_sugar_small_moves_668.pdb,62.5,6.13176208069,0.298,3.261,-48.330,-192.521839874,77.6834973933,-16,-65.541,-200.091,-401.39,685.351,-2744.422,735.834031804,23.1332798924,7.1582389365,-35.9450835994,0.0,40.230,-111.099,-311.908,12.2060461953,5.92569795517,32.99,-1780.56794604,-5.889,1546.027,58.0,-32.392,446,-47.637,555.863,-2777.78866121,335.814,60.812,0,11.9790484487,-61.735
50_sugar_small_moves_679.pdb,87.5,2.13060374759,0.298,0.239,-48.330,100.066528922,16.2581699765,-10,-66.324,-200.091,-462.81,682.211,-2749.081,630.714254976,10.7613121819,6.16583090082,-39.9462419325,0.0,31.551,-111.099,-311.973,5.77551029424,-6.44626975531,47.42,-1885.68772287,-5.889,1542.965,60.0,-32.392,452,-48.488,550.762,-2485.20029241,303.751,60.812,0,7.0877851851,-61.735
