filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,100.0,2.43003379833,0.298,0.392,-48.330,-104.144145532,-8.48410027394,-8,-65.986,-200.091,-487.56,681.216,-2744.880,636.386792242,10.3613082263,1.96466009012,-39.6468118818,0.0,27.456,-111.099,-311.860,2.74738884758,-6.8462737109,51.55,-1880.0151856,-5.889,1540.353,68.0,-32.392,454,-48.502,551.496,-2689.41096687,281.185,60.812,0,2.87422774186,-61.735
50_sugar_small_moves_375.pdb,87.5,2.91105537021,0.296,0.800,-48.330,40.4393020398,-11.5151104167,-6,-67.199,-200.861,-490.59,680.168,-2754.489,388.097462948,8.53564796733,1.70905351708,-39.1657903099,0.0,24.238,-111.099,-313.716,2.21781608292,-8.67193396991,76.29,-2128.3045149,-5.889,1552.542,52.0,-32.392,456,-49.430,551.072,-2544.8275193,284.627,60.812,1,2.73625722925,-61.735
50_sugar_small_moves_109.pdb,75.0,1.94663717379,0.298,0.239,-48.330,2.74738095326,7.62069333038,-13,-66.086,-200.091,-471.45,680.928,-2741.010,457.310255279,12.1352577728,4.47517137311,-40.1302085063,0.0,30.623,-111.099,-312.497,9.08796844765,-5.07232416446,41.24,-2059.09172257,-5.889,1541.065,54.0,-32.392,449,-47.509,560.624,-2582.51944038,280.599,60.812,0,8.34554379073,-61.735
50_sugar_small_moves_137.pdb,100.0,1.75065711143,0.296,0.331,-48.330,-49.2776028297,-13.3625283878,-6,-66.499,-200.091,-492.43,679.887,-2748.329,264.652202153,8.56978693405,3.48181308552,-40.3261885687,0.0,24.436,-111.099,-312.139,0.969749902766,-8.63779500319,80.41,-2251.74977569,-5.889,1543.265,42.0,-32.392,456,-49.371,550.808,-2634.54442417,283.604,60.812,0,1.18412289382,-61.735
50_sugar_small_moves_206.pdb,87.5,0.0442446352026,0.296,0.331,-48.330,28.1599876668,-17.6642689184,-7,-67.077,-200.091,-496.74,680.650,-2747.790,312.934633758,6.71754226263,3.92358818423,-42.0326010449,0.0,24.051,-111.099,-311.555,3.11806897545,-10.4900396746,64.95,-2203.46734409,-5.889,1542.639,70.0,-32.392,455,-48.694,550.809,-2557.10683367,278.329,60.812,0,1.98364944437,-61.735
50_sugar_small_moves_550.pdb,62.5,0.907181632113,0.298,3.261,-48.330,-116.984835363,40.3409726839,-11,-66.263,-200.091,-438.73,684.465,-2752.339,273.889717921,10.8084633968,4.94635374727,-41.169664048,0.0,35.535,-111.099,-311.322,10.0115382171,-6.39911854043,38.14,-2242.51225992,-5.889,1545.878,58.0,-32.392,451,-48.212,554.145,-2702.2516567,314.547,60.812,0,9.84126170378,-61.735
50_sugar_small_moves_615.pdb,87.5,2.99736500173,0.298,0.239,-48.330,2.05322860319,-7.30461643563,-11,-66.216,-200.091,-486.38,680.835,-2748.403,549.286314333,9.11658567217,2.49499389698,-39.0794806784,0.0,28.949,-111.099,-311.787,2.6180562613,-8.09099626507,52.58,-1967.11566351,-5.889,1540.895,66.0,-32.392,451,-48.052,551.156,-2583.21359273,284.433,60.812,0,2.90340560069,-61.735
50_sugar_small_moves_65.pdb,75.0,2.88307509998,0.298,0.301,-48.330,-145.324793625,8.32081775049,-7,-66.973,-200.091,-470.75,682.937,-2753.659,267.96359595,12.6694990276,3.4399871746,-39.1937705802,0.0,26.962,-111.099,-313.238,8.86232378724,-4.53808290961,53.61,-2248.43838189,-5.889,1554.180,54.0,-32.392,455,-48.384,558.493,-2730.59161496,287.055,60.812,0,8.77809746089,-61.735
50_sugar_small_moves_668.pdb,87.5,1.0179346246,0.296,0.331,-48.330,24.9204704066,-4.36431942438,-8,-65.802,-200.091,-483.44,680.570,-2747.429,311.17971683,10.4077650742,2.12983808877,-41.0589110555,0.0,24.341,-111.099,-312.141,2.29647209186,-6.799816863,71.13,-2205.22226101,-5.889,1545.108,60.0,-32.392,454,-48.671,560.111,-2560.34635093,278.575,60.812,0,2.39002662397,-61.735
50_sugar_small_moves_679.pdb,75.0,4.33687420081,0.298,0.239,-48.330,-211.156968522,25.699257656,-13,-65.111,-200.091,-453.37,682.225,-2748.782,463.244770344,19.9197422289,3.48212525627,-37.7399714793,0.0,37.622,-111.099,-311.876,9.13498740383,2.71216029165,44.33,-2053.1572075,-5.889,1546.332,58.0,-32.392,449,-48.130,550.830,-2796.42378986,301.705,60.812,0,8.86569844761,-61.735
50_sugar_small_moves_252.pdb,100.0,2.52987452375,0.296,0.800,-48.330,-34.7180119104,-7.57680386129,-11,-65.883,-200.091,-486.65,680.873,-2746.495,481.432357787,12.3518054375,3.36706401915,-39.5469711564,0.0,24.700,-111.099,-312.097,3.41545928958,-4.85577649971,59.79,-2034.96962006,-5.889,1540.555,78.0,-32.392,451,-48.256,551.429,-2619.98483325,286.154,60.812,0,2.94147662379,-61.735
50_sugar_small_moves_931.pdb,100.0,2.07281024851,0.298,0.992,-48.330,-84.557463376,-0.373429489191,-10,-65.566,-200.091,-479.44,682.211,-2750.546,342.531469549,9.40383979538,3.59764417107,-40.0040354316,0.0,29.029,-111.099,-311.278,5.93980579356,-7.80374214186,54.64,-2173.8705083,-5.889,1545.037,60.0,-32.392,452,-48.407,550.259,-2669.82428471,287.250,60.812,0,5.07307735102,-61.735
50_sugar_small_moves_308.pdb,87.5,0.707362291872,0.298,0.331,-48.330,-7.09727668344,-6.61811938307,-9,-66.768,-200.091,-485.69,680.566,-2754.120,140.039618612,8.33212247613,2.90217842996,-41.3694833883,0.0,29.360,-111.099,-311.497,2.60150451157,-8.87545946111,86.6,-2376.36235923,-5.889,1549.905,48.0,-32.392,453,-49.548,552.218,-2592.36409802,282.290,60.812,0,1.3813012401,-61.735
50_sugar_small_moves_887.pdb,100.0,2.1480133049,0.296,0.862,-48.330,13.2230643203,-12.7718779275,-4,-67.080,-200.091,-491.84,681.355,-2758.385,239.596565692,6.56120437322,3.17413549666,-39.9288323752,0.0,26.565,-111.099,-312.657,3.32453241786,-10.646377564,75.26,-2276.80541215,-5.889,1553.918,56.0,-32.392,458,-50.826,550.884,-2572.04375702,281.948,60.812,1,2.65579057418,-61.735
50_sugar_small_moves_281.pdb,87.5,2.61775444997,0.298,0.331,-48.330,2.71833867452,-9.00885277946,-8,-66.094,-200.091,-488.08,682.289,-2745.968,490.639869405,9.46466640834,5.13562757128,-39.4590912302,0.0,26.276,-111.099,-311.949,3.48228397966,-7.7429155289,64.95,-2025.76210844,-5.889,1538.146,58.0,-32.392,454,-48.446,551.888,-2582.54848266,283.875,60.812,0,2.37823809064,-61.735
50_sugar_small_moves_25.pdb,62.5,2.6339300875,0.298,0.392,-48.330,-47.7164639914,23.1972215909,-13,-65.846,-200.091,-455.87,681.271,-2740.782,931.100623002,14.4220652058,4.00407743572,-39.4429155926,0.0,37.082,-111.099,-311.430,11.719666699,-2.78551673144,36.08,-1585.30135484,-5.889,1539.768,66.0,-32.392,449,-47.819,553.963,-2632.98328533,295.952,60.812,0,12.6027574846,-61.735
50_sugar_small_moves_532.pdb,100.0,2.17930224835,0.296,0.800,-48.330,-46.3483973535,-2.53618880657,-9,-66.075,-200.091,-481.61,681.363,-2748.308,317.108344318,9.04560413075,1.99460756262,-39.8975434318,0.0,31.199,-111.099,-311.609,2.43220072414,-8.16197780648,72.16,-2199.29363353,-5.889,1541.660,58.0,-32.392,453,-48.384,551.081,-2631.61521869,285.093,60.812,0,1.72664430438,-61.735
50_sugar_small_moves_6.pdb,87.5,0.925691875817,0.296,0.331,-48.330,25.1363637566,-14.7921455391,-8,-66.337,-200.091,-493.86,681.342,-2745.838,561.354211156,8.92987142181,2.00422211497,-41.1511538043,0.0,22.653,-111.099,-310.359,1.67759548728,-8.27771051543,70.1,-1955.04776669,-5.889,1539.282,64.0,-32.392,454,-48.562,550.772,-2560.13045758,281.281,60.812,0,1.85848704061,-61.735
50_sugar_small_moves_528.pdb,87.5,1.82120117945,0.298,0.615,-48.330,49.7056816747,-4.78088323868,-11,-65.542,-200.091,-483.85,679.781,-2743.195,643.35364241,10.5804713338,3.13408247474,-40.2556445007,0.0,27.825,-111.099,-312.139,3.72863319196,-6.62711060346,52.58,-1873.04833544,-5.889,1539.409,80.0,-32.392,451,-48.184,550.710,-2535.56113966,285.293,60.812,0,4.20308155218,-61.735
50_sugar_small_moves_424.pdb,100.0,2.27516036197,0.296,0.331,-48.330,-81.6120612444,-16.7038429151,-6,-66.446,-200.093,-495.78,680.161,-2756.953,25.2027405673,8.8235978398,2.24529460151,-39.8016853182,0.0,22.428,-111.099,-313.314,1.36493862117,-8.38398409744,89.69,-2491.19923728,-5.889,1553.804,50.0,-32.392,456,-50.263,550.379,-2666.87888258,282.528,60.812,1,1.02112552899,-61.735
50_sugar_small_moves_443.pdb,100.0,2.42246069621,0.296,0.331,-48.330,38.1150587104,-13.3419259591,-4,-67.603,-200.091,-492.41,680.589,-2758.161,94.3103554791,7.19944428408,1.99880903139,-39.6543849839,0.0,26.227,-111.099,-314.399,1.40210816535,-10.0081376532,92.78,-2422.09162237,-5.889,1554.262,44.0,-32.392,458,-51.094,550.527,-2547.15176263,285.338,60.812,2,0.977782386178,-61.735
50_sugar_small_moves_711.pdb,100.0,2.34110763493,0.298,0.239,-48.330,-73.6515757409,-13.0197117848,-8,-66.621,-200.091,-492.09,681.391,-2748.434,171.747876162,10.6722949369,2.4187759256,-39.7357380452,0.0,24.178,-111.099,-312.113,2.65178357767,-6.53528700037,77.32,-2344.65410168,-5.889,1544.517,62.0,-32.392,454,-48.645,551.202,-2658.91839708,280.621,60.812,0,1.94549531594,-61.735
50_sugar_small_moves_829.pdb,75.0,2.74304640588,0.298,0.392,-48.330,-54.6267654914,-7.91415808369,-11,-66.031,-200.091,-486.99,680.296,-2746.307,555.249313171,9.73305155507,2.33053648487,-39.3337992743,0.0,25.889,-111.099,-312.205,3.38098949136,-7.47453038217,53.61,-1961.15266467,-5.889,1542.604,82.0,-32.392,451,-48.099,551.986,-2639.89358683,282.915,60.812,0,3.31719169278,-61.735
50_sugar_small_moves_826.pdb,100.0,-0.0603194425644,0.295,0.645,-48.330,-190.45485032,-2.99988061318,-7,-66.991,-200.497,-482.07,681.581,-2754.087,-58.4354927983,7.86804315849,3.80986329782,-42.1371651227,0.0,29.114,-111.099,-313.244,3.36326488005,-9.33953877875,73.2,-2574.83747064,-5.889,1550.880,36.0,-32.392,455,-47.740,551.132,-2775.72167166,285.474,60.812,1,3.32915524625,-61.735
50_sugar_small_moves_661.pdb,75.0,4.3773277938,0.298,0.392,-48.330,-92.6550154033,29.0083064017,-16,-64.879,-200.091,-450.06,683.389,-2743.122,561.03440478,12.3806479211,4.31290084602,-37.6995178863,0.0,37.934,-111.099,-310.363,8.61391107551,-4.82693401613,39.18,-1955.36757306,-5.889,1538.974,62.0,-32.392,446,-46.799,555.740,-2677.92183674,297.095,60.812,0,8.05320122285,-61.735
50_sugar_small_moves_864.pdb,75.0,2.09748669311,0.292,0.331,-48.330,26.630637092,8.53538817744,-9,-65.146,-200.091,-470.54,681.864,-2743.534,554.906514992,13.1375761365,4.72360122865,-39.979358987,0.0,29.530,-111.099,-313.317,9.36108785498,-4.07000580069,61.86,-1961.49546285,-5.889,1541.447,78.0,-32.392,453,-48.921,553.530,-2558.63618424,292.112,60.812,0,8.39067089773,-61.735
50_sugar_small_moves_894.pdb,87.5,2.7094562905,0.298,0.707,-48.330,19.2538827746,4.67760243765,-9,-66.499,-200.091,-474.39,681.589,-2748.004,295.269303126,10.0988413248,3.20206173438,-39.3673893896,0.0,31.436,-111.099,-311.757,5.00531845144,-7.10874061245,52.58,-2221.13267472,-5.889,1542.921,72.0,-32.392,453,-48.078,557.024,-2566.01293856,284.694,60.812,0,4.78423235233,-61.735
