filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,100.0,1.23536854403,0.298,0.331,-48.330,15.1259463831,-15.8538936205,-9,-67.089,-200.746,-494.93,681.822,-2757.996,156.896396379,8.10121835927,-40.8414771361,0.0,23.887,-111.099,-311.859,0.355110983631,-9.10636357797,92.78,-2359.50558147,-5.889,1551.926,46.0,-32.392,453,-48.612,550.389,-2570.14087495,281.359,60.812,1,0.976367627288,-61.735
50_sugar_small_moves_375.pdb,100.0,0.983137677939,0.298,0.331,-48.330,-20.093106892,-19.7165340071,-4,-68.029,-200.492,-498.79,681.166,-2756.993,140.153274453,5.2019977802,-41.0937080022,0.0,22.684,-111.099,-312.179,0.354889559857,-12.005584157,89.69,-2376.24870339,-5.889,1551.831,30.0,-32.392,458,-51.083,550.868,-2605.35992823,281.444,60.812,1,0.955986823695,-61.735
50_sugar_small_moves_109.pdb,87.5,0.734615570401,0.298,0.331,-48.330,59.7109949298,-11.5249428797,-4,-67.925,-200.780,-490.6,680.062,-2759.442,57.7675669291,5.61513029888,-41.3422301097,0.0,24.126,-111.099,-312.822,0.341453508975,-11.5924516384,95.88,-2458.63441092,-5.889,1554.452,28.0,-32.392,458,-50.510,557.774,-2525.55582641,282.472,60.812,1,0.861170693647,-61.735
50_sugar_small_moves_137.pdb,100.0,1.83303240349,0.298,0.331,-48.330,-25.5293188198,-17.894687676,0,-67.699,-200.770,-496.97,680.781,-2765.467,-48.873795697,3.99557856364,-40.2438132766,0.0,23.045,-111.099,-314.716,0.341754108977,-13.2120033736,96.91,-2565.27577354,-5.889,1560.041,34.0,-32.392,462,-51.343,551.490,-2610.79614016,285.676,60.812,2,0.508046145088,-61.735
50_sugar_small_moves_206.pdb,100.0,0.286730297042,0.298,0.331,-48.330,-10.1083574941,-21.2984985621,-5,-68.552,-200.877,-500.37,681.165,-2763.243,-9.21956602583,2.80209051563,-41.7901153831,0.0,24.719,-111.099,-312.679,0.355092909273,-14.4054914216,97.94,-2525.62154387,-5.889,1556.205,28.0,-32.392,457,-50.854,550.815,-2595.37517883,280.935,60.812,2,0.640732191572,-61.735
50_sugar_small_moves_550.pdb,87.5,0.573730268779,0.298,0.331,-48.330,26.7015362447,-22.3900183602,-3,-68.478,-200.375,-501.46,680.971,-2759.819,72.7517537918,4.3514413763,-41.5031154114,0.0,22.553,-111.099,-312.454,0.355110983631,-12.8561405609,95.88,-2443.65022405,-5.889,1554.345,40.0,-32.392,459,-51.124,550.596,-2558.56528509,280.328,60.812,1,0.843420444666,-61.735
50_sugar_small_moves_615.pdb,100.0,0.457400764408,0.298,0.331,-48.330,35.9896355325,-19.8421338726,-4,-68.446,-200.552,-498.91,681.288,-2756.531,59.7494542294,3.68368168248,-41.6194449157,0.0,23.965,-111.099,-312.363,0.355130958363,-13.5239002548,93.81,-2456.65252362,-5.889,1550.821,38.0,-32.392,458,-50.963,551.359,-2549.2771858,280.514,60.812,1,1.08990147748,-61.735
50_sugar_small_moves_65.pdb,87.5,0.116284462941,0.298,0.331,-48.330,41.5571350051,-18.7889707138,-5,-66.999,-200.659,-497.86,681.158,-2755.339,222.758024677,6.12524576486,-41.9605612172,0.0,22.329,-111.099,-311.541,0.341764411745,-11.0823361724,91.75,-2293.64395317,-5.889,1549.836,38.0,-32.392,457,-50.248,551.254,-2543.70968633,280.354,60.812,1,1.3779303562,-61.735
50_sugar_small_moves_668.pdb,87.5,0.637372531045,0.298,0.331,-48.330,16.3662083776,-22.6631383862,0,-68.444,-200.783,-501.73,680.849,-2763.055,43.7760147467,2.11536463802,-41.4394731491,0.0,24.078,-111.099,-313.757,0.341603418545,-15.0922172992,98.97,-2472.6259631,-5.889,1557.966,28.0,-32.392,462,-53.280,551.186,-2568.90061296,281.510,60.812,2,0.874955916466,-61.735
50_sugar_small_moves_679.pdb,100.0,0.305284297181,0.298,0.331,-48.330,-4.09946813211,-13.1386002581,-10,-66.703,-200.091,-492.21,681.865,-2749.187,316.768276609,8.53459251996,-41.7715613829,0.0,25.219,-111.099,-310.486,0.355107471499,-8.67298941727,72.16,-2199.63370124,-5.889,1542.439,36.0,-32.392,452,-48.685,551.036,-2589.36628947,280.388,60.812,0,1.742172489,-61.735
