filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,100.0,-0.000315041997965,0.298,0.708,-48.330,45.1085542381,5.2024709581,-8,-65.925,-200.091,-473.87,681.708,-2755.637,80.8853837141,6.11512787461,6.0221220368,-42.0771607221,0.0,29.978,-111.099,-311.445,6.5124330645,-11.0924540626,82.47,-2435.51659413,-5.889,1549.028,52.0,-32.392,454,-49.290,551.691,-2540.1582671,283.417,60.812,0,10.324,2.43243814576,-61.735
50_sugar_small_moves_375.pdb,87.5,2.69742109972,0.294,0.227,-48.330,-44.6891167122,104.455375806,-5,-66.834,-200.091,-374.62,683.006,-2751.117,146.583765549,10.6385186569,5.8540060941,-39.3794245804,0.0,45.860,-111.099,-312.988,5.36761526352,-6.56906328034,79.38,-2369.8182123,-5.889,1559.462,58.0,-32.392,457,-49.768,554.243,-2629.95593805,302.814,60.812,0,58.910,2.81533875937,-61.735
50_sugar_small_moves_109.pdb,75.0,1.31278590663,0.298,0.239,-48.330,71.5157581577,160.543938843,-13,-67.080,-200.091,-318.53,688.939,-2766.198,170.085221218,13.7206646986,9.24572545335,-40.7640597735,0.0,43.563,-111.099,-310.582,12.2371007113,-3.48691723867,73.2,-2346.31675663,-5.889,1563.080,66.0,-32.392,449,-46.566,555.853,-2513.75106318,323.076,60.812,0,95.575,6.16034338081,-61.735
50_sugar_small_moves_137.pdb,62.5,1.72558203913,0.299,23.294,-48.330,106.747874253,2117.84101801,-12,-65.155,-200.091,1638.77,688.912,-2743.309,960.891694546,26.3852817767,7.24701404147,-40.351263641,0.0,40.392,-111.099,-310.977,10.4390122448,9.17769983942,38.14,-1555.5102833,-5.889,1547.027,0.0,-32.392,450,-47.895,557.525,-2478.51894708,330.226,60.812,0,2017.155,10.4390122448,-61.735
50_sugar_small_moves_206.pdb,100.0,3.40461290626,0.299,0.587,-48.330,9.17315578179,14.7129086597,-7,-67.378,-201.000,-464.36,684.114,-2756.722,4.97047275611,7.23656071489,8.06403237818,-38.6722327739,0.0,31.565,-111.099,-310.680,11.2526379012,-9.97102122235,84.54,-2511.43150509,-5.889,1547.522,54.0,-32.392,455,-48.766,550.135,-2576.09366555,283.852,60.812,1,20.747,2.37213167878,-61.735
50_sugar_small_moves_550.pdb,100.0,0.456497087746,0.299,0.587,-48.330,56.5650583456,41.2808229628,-12,-65.406,-200.091,-437.79,679.250,-2754.428,173.849632676,12.2960104807,6.4261117236,-41.6203485924,0.0,37.021,-111.099,-310.691,8.676219244,-4.91157145658,73.2,-2342.55234517,-5.889,1550.365,56.0,-32.392,450,-48.139,552.743,-2528.70176299,296.172,60.812,0,23.163,2.84969894532,-61.735
50_sugar_small_moves_615.pdb,87.5,2.64765615722,0.297,0.239,-48.330,11.8407325246,28.6958545262,-8,-65.928,-200.091,-450.38,679.491,-2754.085,246.106605017,9.19570211674,7.04313463735,-39.4291895229,0.0,42.598,-111.099,-312.675,10.3866776663,-8.0118798205,79.38,-2270.29537283,-5.889,1552.803,70.0,-32.392,454,-48.812,553.036,-2573.42608881,289.684,60.812,0,11.700,2.73456314202,-61.735
50_sugar_small_moves_65.pdb,87.5,3.35049574984,0.299,0.119,-48.330,-141.763903072,810.570482402,-8,-66.691,-200.091,331.5,681.692,-2738.627,643.061373452,11.6591659411,6.55262930882,-38.7263499303,0.0,29.373,-111.099,-312.076,8.0260456906,-5.54841599614,37.11,-1873.34060439,-5.889,1536.353,0.0,-32.392,454,-48.263,562.716,-2727.03072441,280.283,60.812,0,805.044,8.0260456906,-61.735
50_sugar_small_moves_668.pdb,100.0,3.24517268876,0.298,0.578,-48.330,-85.4839384421,98.5313603628,-10,-66.235,-200.091,-380.54,682.115,-2757.955,83.8565701765,10.0072185682,5.89931257957,-38.8316729914,0.0,48.506,-111.099,-312.187,11.2966271046,-7.20036336904,72.16,-2432.54540767,-5.889,1553.804,70.0,-32.392,452,-48.193,555.575,-2670.75075978,299.953,60.812,0,61.923,3.30657356113,-61.735
50_sugar_small_moves_679.pdb,87.5,0.516300876812,0.299,0.432,-48.330,87.3741688071,142.316573974,-6,-66.639,-200.248,-336.75,686.345,-2768.225,44.8278975373,13.4950508015,9.07806221436,-41.5605448033,0.0,31.118,-111.099,-312.362,12.5255541516,-3.71253113576,73.2,-2471.57408031,-5.889,1566.795,50.0,-32.392,456,-50.265,555.061,-2497.89265253,308.908,60.812,1,110.659,6.24582597007,-61.735
