filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_5.pdb,87.5,7.63455479784,0.271,0.504,-48.330,51.3120672041,-45.9993805968,10,-66.824,-201.848,-3414.41,689.749,-5664.343,-191.220910235,-10.1185344562,-105.054512484,0.0,26.342,-111.099,-321.319,0.442180161549,-79.2595433723,100.0,-2707.62288808,-5.889,1634.290,60.0,-32.392,472,-47.840,550.228,-2533.95475413,183.260,60.812,2,1.750,1.19586557361,-61.735
50_sugar_small_moves_375.pdb,87.5,7.00863622759,0.270,0.504,-48.330,55.1000444854,-38.6600828767,7,-66.111,-201.973,-3407.07,690.641,-5654.366,-142.416694997,-8.87308220506,-105.680431055,0.0,28.551,-111.099,-319.438,0.437407727518,-78.0140911212,100.0,-2658.81867284,-5.889,1626.339,56.0,-32.392,469,-48.504,549.948,-2530.16677685,182.746,60.812,2,2.953,0.974470133065,-61.735
50_sugar_small_moves_109.pdb,87.5,8.37456144925,0.270,0.649,-48.330,24.1824133295,-36.1829907124,7,-67.279,-201.000,-3404.6,695.380,-5675.281,-190.075943218,-8.76630461437,-104.314505833,0.0,28.868,-111.099,-324.862,0.441387979705,-77.9073135305,100.0,-2706.47792106,-5.889,1637.358,68.0,-32.392,469,-48.711,550.530,-2561.08440801,193.449,60.812,2,4.665,1.34726539462,-61.735
50_sugar_small_moves_137.pdb,87.5,7.4952430297,0.270,0.504,-48.330,46.82224261,-41.2521083323,7,-67.060,-201.733,-3409.67,693.937,-5676.338,-211.56190818,-13.8906962745,-105.193824253,0.0,30.628,-111.099,-322.779,0.437546173612,-83.0317051906,100.0,-2727.96388602,-5.889,1636.088,48.0,-32.392,469,-48.987,550.669,-2538.44457873,190.230,60.812,2,3.538,1.12957804983,-61.735
50_sugar_small_moves_206.pdb,87.5,7.3560153901,0.271,0.657,-48.330,72.4819026184,-40.6105675996,6,-66.332,-201.765,-3409.02,688.639,-5661.766,-125.429475201,-13.9177539091,-105.333051892,0.0,30.785,-111.099,-320.646,0.437740391264,-83.0587628252,100.0,-2641.83145305,-5.889,1629.541,62.0,-32.392,468,-49.385,549.165,-2512.78491872,186.914,60.812,2,3.532,1.04185078276,-61.735
50_sugar_small_moves_550.pdb,87.5,7.54486404082,0.270,0.504,-48.330,46.4344537212,-40.3370304189,4,-65.697,-201.067,-3408.75,691.280,-5658.594,-138.48213333,-8.45483799394,-105.144203241,0.0,28.434,-111.099,-319.400,0.437412287063,-77.5958469101,100.0,-2654.88411118,-5.889,1623.650,48.0,-32.392,466,-47.911,549.383,-2538.83236762,185.480,60.812,2,3.552,0.985865884582,-61.735
50_sugar_small_moves_615.pdb,87.5,7.88475600735,0.270,0.504,-48.330,39.2368399983,-38.4869201475,8,-66.484,-201.430,-3406.9,693.882,-5663.832,-106.971400509,-5.84483515982,-104.804311275,0.0,28.110,-111.099,-321.657,0.441844248561,-74.985844076,100.0,-2623.37337835,-5.889,1629.991,52.0,-32.392,470,-47.853,550.596,-2546.02998134,188.147,60.812,2,1.491,0.894511821335,-61.735
50_sugar_small_moves_65.pdb,87.5,7.97263448913,0.271,0.504,-48.330,83.7183478567,-41.047476818,8,-66.988,-201.624,-3409.46,691.536,-5662.950,-116.349954394,-13.7203591225,-104.716432793,0.0,29.268,-111.099,-320.795,0.437839178921,-82.8613680387,100.0,-2632.75193224,-5.889,1630.302,56.0,-32.392,470,-49.197,550.008,-2501.54847348,185.778,60.812,2,3.059,1.05986269479,-61.735
50_sugar_small_moves_668.pdb,87.5,8.15910474775,0.270,0.504,-48.330,70.4312803736,-43.0139852116,7,-67.642,-202.084,-3411.43,696.363,-5669.940,-116.080646212,-11.6425214143,-104.529962535,0.0,29.092,-111.099,-324.996,0.437931663615,-80.7835303304,100.0,-2632.48262406,-5.889,1632.092,52.0,-32.392,469,-48.915,548.277,-2514.83554096,191.014,60.812,2,3.170,0.93293583704,-61.735
50_sugar_small_moves_679.pdb,87.5,7.80489159041,0.271,0.720,-48.330,55.9017866876,-47.0234641501,7,-64.981,-201.522,-3415.44,689.462,-5658.193,-97.6750244822,-12.6869449877,-104.884175692,0.0,29.569,-111.099,-321.046,0.441191808819,-81.8279539039,100.0,-2614.07700233,-5.889,1626.990,52.0,-32.392,469,-50.360,549.442,-2529.36503465,181.962,60.812,2,0.885,0.980353494387,-61.735
