filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,100.0,1.2982273414,0.295,0.118,-48.330,-23.8424619763,56.0731096214,-2,-67.786,-200.091,-1197.0,689.700,-2773.087,67.2002803202,11.3828411843,6.48570823567,-61.2379227554,0.0,44.896,-111.099,-317.453,9.24106962032,-29.3746556182,83.51,-2449.20169752,-5.889,791.365,66.0,-32.392,460,-49.889,556.442,-2609.10928331,302.930,60.812,1,24.197,2.40673815279,-61.735
50_sugar_small_moves_375.pdb,100.0,-0.325500211781,0.297,0.118,-48.330,-11.1521729851,0.0842593714958,-1,-67.911,-201.041,-1252.99,686.694,-2783.209,-65.3466320563,4.14081235487,4.67479622558,-62.8616503086,0.0,32.870,-111.099,-316.188,4.4203860335,-36.6166844476,93.81,-2581.7486099,-5.889,793.428,70.0,-32.392,461,-49.569,556.363,-2596.41899432,284.973,60.812,2,8.824,1.23294696949,-61.735
50_sugar_small_moves_109.pdb,100.0,-0.189949405881,0.295,0.118,-48.330,-91.182500506,9.99016023001,-4,-67.004,-200.369,-1243.08,688.318,-2770.415,-27.4148406744,11.5196673575,7.09582449406,-62.7260995027,0.0,31.307,-111.099,-315.548,11.0344758664,-29.2378294449,86.6,-2543.81681852,-5.889,789.069,58.0,-32.392,458,-48.423,554.121,-2676.44932184,285.554,60.812,2,8.531,1.47355283673,-61.735
50_sugar_small_moves_137.pdb,87.5,0.563593466582,0.294,0.239,-48.330,50.102755715,81.4004671468,-2,-67.166,-202.072,-1171.67,692.367,-2793.361,-101.88282714,6.20392576908,7.98054633891,-61.9725566302,0.0,39.012,-111.099,-317.706,13.8556259286,-34.5535710334,88.66,-2618.28480499,-5.889,797.723,54.0,-32.392,460,-49.872,562.431,-2535.16406562,347.496,60.812,2,17.579,2.12095649018,-61.735
50_sugar_small_moves_206.pdb,87.5,-0.167642239556,0.294,3.261,-48.330,-67.1913830195,955.855109537,-4,-67.757,-200.579,-297.22,690.774,-2802.064,43.8061740362,171.971891424,6.20046015541,-62.7037923364,0.0,43.950,-111.099,-316.176,6.90674147214,131.214394622,74.23,-2472.59580381,-5.889,807.616,68.0,-32.392,458,-49.164,556.758,-2652.45820436,729.217,60.812,1,505.288,5.27840164251,-61.735
50_sugar_small_moves_550.pdb,87.5,0.439337095914,0.289,0.239,-48.330,-34.9760491441,4.38140193627,5,-67.954,-201.517,-1248.69,688.579,-2788.489,-260.63852665,-3.81771234924,8.54121572373,-62.0968130009,0.0,33.731,-111.099,-320.283,7.45615604099,-44.5752091517,97.94,-2777.04050449,-5.889,798.466,52.0,-32.392,467,-52.778,554.269,-2620.24287048,296.472,60.812,2,8.921,1.38884047277,-61.735
50_sugar_small_moves_615.pdb,87.5,0.573119976983,0.298,0.239,-48.330,33.3483318127,-3.08465669665,-4,-68.878,-200.857,-1256.15,687.977,-2788.669,-152.402693275,6.94591431906,5.1985317034,-61.9630301198,0.0,31.921,-111.099,-314.777,4.51310414248,-33.8115824834,95.88,-2668.80467112,-5.889,795.430,60.0,-32.392,458,-48.025,552.563,-2551.91848952,290.606,60.812,1,4.649,1.02016744082,-61.735
50_sugar_small_moves_65.pdb,100.0,0.216168745133,0.290,0.906,-48.330,30.0127206024,-3.11657052664,-3,-67.582,-200.652,-1256.19,687.489,-2778.124,-37.1139300945,4.90559010811,6.05110703988,-62.3199813517,0.0,27.791,-111.099,-316.729,5.06133151708,-35.8519066943,96.91,-2553.51590794,-5.889,790.699,62.0,-32.392,459,-49.346,553.369,-2555.25410073,287.137,60.812,1,7.199,0.990207272494,-61.735
50_sugar_small_moves_668.pdb,100.0,0.937006830886,0.294,0.239,-48.330,49.1871715035,-10.5398321976,-3,-66.673,-201.226,-1263.61,685.214,-2787.532,-59.2889975876,2.92360186243,5.64322972948,-61.5991432659,0.0,27.445,-111.099,-317.634,5.70333965755,-37.83389494,96.91,-2575.69097543,-5.889,795.459,56.0,-32.392,459,-50.698,557.464,-2536.07964983,291.642,60.812,2,1.030,0.96589051319,-61.735
50_sugar_small_moves_679.pdb,100.0,0.815660922131,0.294,0.239,-48.330,16.2761106031,-0.97448571226,-6,-66.572,-200.902,-1254.04,685.506,-2777.052,-55.0054010979,6.6302454116,4.81392406572,-61.7204891747,0.0,29.774,-111.099,-316.012,4.59379065665,-34.1272513908,96.91,-2571.40737894,-5.889,789.408,58.0,-32.392,456,-49.776,554.910,-2568.99071073,288.050,60.812,2,6.721,0.873208551013,-61.735
