filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_5.pdb,100.0,-0.0631263806754,0.298,0.392,-48.330,45.6884844849,-17.5701478929,-4,-68.484,-200.949,-495.85,682.592,-2761.979,54.3820858444,3.5758339386,4.10971458435,-42.1399720608,0.0,26.293,-111.099,-312.886,2.86782913811,-13.6317479986,98.97,-2462.019892,-5.889,1556.914,52.0,-32.392,458,-50.265,549.337,-2539.57833685,280.540,60.812,2,0.975,0.687379159504,-61.735
50_sugar_small_moves_375.pdb,100.0,0.120782346914,0.296,0.331,-48.330,0.862533959371,-16.3777918604,-1,-68.287,-200.308,-494.66,681.900,-2758.531,-0.507526232461,3.8650320466,3.51021162877,-41.9560633332,0.0,25.218,-111.099,-313.121,3.17907987833,-13.3425498906,97.94,-2516.90950408,-5.889,1554.170,50.0,-32.392,461,-51.322,548.962,-2584.40428738,281.386,60.812,2,3.279,0.649203489615,-61.735
50_sugar_small_moves_109.pdb,100.0,0.634931476476,0.298,0.301,-48.330,-30.9007363687,-13.7086128049,-3,-68.611,-200.091,-491.99,681.836,-2762.317,-91.9955446848,1.21748021179,3.10563940939,-41.4419142037,0.0,27.166,-111.099,-313.874,2.03067973337,-15.9901017254,95.88,-2608.39752253,-5.889,1557.654,44.0,-32.392,459,-52.649,550.732,-2616.16755771,281.936,60.812,2,4.258,0.936878123363,-61.735
50_sugar_small_moves_137.pdb,100.0,0.0460150769159,0.296,0.800,-48.330,5.57723453137,5.08651686152,-8,-66.267,-200.091,-473.2,682.889,-2764.430,23.0121506735,7.70487808453,3.30761136704,-42.0308306032,0.0,28.694,-111.099,-312.197,6.8825338384,-9.50270385271,96.91,-2493.38982717,-5.889,1561.641,74.0,-32.392,454,-49.941,549.585,-2579.68958681,286.929,60.812,2,7.528,0.642009770021,-61.735
50_sugar_small_moves_206.pdb,100.0,0.130056448587,0.298,0.331,-48.330,-14.5143209569,-16.7268651313,-5,-68.157,-200.602,-495.01,682.696,-2761.959,-43.0211869948,3.64278586142,2.12293358691,-41.9467892315,0.0,27.424,-111.099,-312.878,1.89449840455,-13.5647960758,96.91,-2559.42316484,-5.889,1555.075,60.0,-32.392,457,-50.603,549.648,-2599.78114229,278.778,60.812,2,3.572,0.754510767751,-61.735
50_sugar_small_moves_550.pdb,87.5,0.0379847603131,0.297,0.301,-48.330,49.349541423,12.0583913943,0,-68.443,-200.909,-466.23,682.803,-2762.210,37.0691565814,4.3176355046,3.47834198078,-42.0388609198,0.0,32.945,-111.099,-313.951,6.76578074314,-12.8899464326,95.88,-2479.33282126,-5.889,1559.244,52.0,-32.392,462,-51.559,550.585,-2535.91727991,292.684,60.812,2,10.621,1.43748665446,-61.735
50_sugar_small_moves_615.pdb,100.0,0.521339491738,0.299,0.392,-48.330,31.3824860274,-5.01555652616,-7,-66.763,-200.091,-483.3,682.341,-2756.777,36.3767805886,5.81836439577,4.13804125059,-41.5555061884,0.0,27.826,-111.099,-312.165,7.90569627587,-11.3892175415,94.85,-2480.02519726,-5.889,1550.400,62.0,-32.392,455,-49.852,550.220,-2553.88433531,282.729,60.812,1,6.776,0.698264618283,-61.735
50_sugar_small_moves_65.pdb,100.0,0.469311464933,0.298,0.615,-48.330,23.81890391,-8.42563458482,-6,-69.105,-200.091,-486.71,679.933,-2761.902,31.4436268504,4.39937086499,2.66391827778,-41.6075342152,0.0,28.098,-111.099,-313.121,5.42334959836,-12.8082110722,94.85,-2484.95835099,-5.889,1558.178,68.0,-32.392,456,-49.686,548.826,-2561.44791743,286.534,60.812,2,3.347,0.753547228991,-61.735
50_sugar_small_moves_668.pdb,100.0,0.26999025014,0.298,0.331,-48.330,-12.1567224463,-14.8877875911,-5,-68.434,-200.706,-493.17,683.531,-2758.910,-34.0771037381,4.76181171324,2.49398481129,-41.80685543,0.0,25.537,-111.099,-312.889,2.04334066249,-12.445770224,97.94,-2550.47908158,-5.889,1554.293,44.0,-32.392,457,-50.502,551.790,-2597.42354378,278.830,60.812,2,2.294,0.840178616675,-61.735
50_sugar_small_moves_679.pdb,100.0,0.292101854096,0.299,0.239,-48.330,20.0761035067,-17.897694801,1,-69.124,-200.943,-496.18,684.255,-2756.480,6.22403803809,1.2895983225,4.37295048095,-41.784743826,0.0,24.260,-111.099,-313.561,6.08798595022,-15.9179836147,97.94,-2510.17793981,-5.889,1552.597,56.0,-32.392,463,-51.334,549.348,-2565.19071783,279.699,60.812,2,3.198,1.090107471,-61.735
50_sugar_small_moves_252.pdb,100.0,1.26397923552,0.298,0.239,-48.330,29.2292384227,-11.7814438012,-2,-68.101,-200.812,-490.07,682.482,-2761.614,-27.9186202667,4.04166799908,3.01173224312,-40.8128664446,0.0,25.828,-111.099,-312.264,2.77304562057,-13.1659139382,98.97,-2544.32059811,-5.889,1555.019,58.0,-32.392,460,-51.019,551.279,-2556.03758291,283.012,60.812,2,4.222,0.77379360086,-61.735
50_sugar_small_moves_931.pdb,100.0,0.918318356275,0.298,0.331,-48.330,-20.6840521057,-22.1854700723,-2,-68.823,-200.804,-500.47,680.234,-2760.077,-4.56220533752,3.05208822066,1.48121567069,-41.1585273239,0.0,23.902,-111.099,-314.142,0.954106018884,-14.1554937166,98.97,-2520.96418318,-5.889,1557.163,56.0,-32.392,460,-49.828,550.133,-2605.95087344,279.041,60.812,1,0.738,0.541074337117,-61.735
50_sugar_small_moves_308.pdb,100.0,0.0800573498923,0.298,0.392,-48.330,40.8616639618,-9.54390206096,-1,-68.015,-201.649,-487.83,682.591,-2765.281,-8.80444915951,0.307257603117,3.08132708599,-41.9967883302,0.0,26.441,-111.099,-313.240,3.43188921448,-16.9003243341,100.0,-2525.206427,-5.889,1560.706,62.0,-32.392,461,-51.614,552.028,-2544.40515737,281.978,60.812,2,6.170,0.686776953322,-61.735
50_sugar_small_moves_887.pdb,100.0,1.15166579718,0.296,0.331,-48.330,-5.8384986848,-3.74684364752,-2,-67.569,-200.844,-482.03,681.636,-2760.295,-0.111297707146,3.99073724782,2.87358688415,-40.9251798829,0.0,25.371,-111.099,-312.439,4.44855515959,-13.2168446894,97.94,-2516.51327555,-5.889,1555.513,66.0,-32.392,460,-51.280,559.256,-2591.10532002,281.339,60.812,2,5.289,0.647613572192,-61.735
50_sugar_small_moves_281.pdb,100.0,0.251343563295,0.298,0.331,-48.330,29.1183906227,-11.9085937934,-2,-68.312,-200.091,-490.19,681.882,-2763.011,20.9830851843,3.26221844966,1.93953203154,-41.8255021168,0.0,26.368,-111.099,-312.475,1.79789752365,-13.9453634876,96.91,-2495.41889266,-5.889,1556.634,52.0,-32.392,460,-50.446,550.619,-2556.14843071,282.150,60.812,2,4.492,0.606573293254,-61.735
50_sugar_small_moves_25.pdb,100.0,0.406208093742,0.299,0.392,-48.330,-7.33585155665,-3.16793971768,-4,-67.589,-200.091,-481.45,680.632,-2757.892,14.0131942651,6.36332432327,4.24254567623,-41.6706375864,0.0,28.684,-111.099,-312.312,8.90179310507,-10.844257614,93.81,-2502.38878358,-5.889,1553.194,60.0,-32.392,458,-50.589,552.852,-2592.60267289,282.185,60.812,1,7.415,0.875771350792,-61.735
50_sugar_small_moves_532.pdb,100.0,0.104301386055,0.298,0.645,-48.330,8.49216709277,-18.2528549508,-2,-68.491,-200.091,-496.54,682.491,-2764.938,1.25401518906,2.29326442052,1.72273282361,-41.9725442941,0.0,27.345,-111.099,-313.440,3.11101944888,-14.9143175167,96.91,-2515.14796266,-5.889,1557.864,54.0,-32.392,460,-51.760,549.174,-2576.77465424,280.579,60.812,2,2.420,0.781790514252,-61.735
50_sugar_small_moves_6.pdb,100.0,0.400509206442,0.298,0.331,-48.330,10.9634369583,-8.44325079834,-2,-68.781,-200.091,-486.73,682.839,-2759.696,18.6155344184,3.62330640891,2.24951923567,-41.6763364737,0.0,26.589,-111.099,-312.691,1.67007086912,-13.5842755283,96.91,-2497.78644343,-5.889,1555.193,60.0,-32.392,460,-51.158,550.322,-2574.30338438,282.215,60.812,2,6.537,0.68253378056,-61.735
50_sugar_small_moves_528.pdb,100.0,0.846107794293,0.298,0.906,-48.330,1.28487261026,-9.52849345751,-1,-68.769,-201.791,-487.81,682.401,-2765.553,-97.3726015864,3.83223123567,4.66352965921,-41.2307378858,0.0,27.816,-111.099,-313.950,4.24778432567,-13.3753507016,96.91,-2613.77457943,-5.889,1562.655,40.0,-32.392,461,-50.655,551.434,-2583.98194873,283.235,60.812,2,2.795,1.00407426848,-61.735
50_sugar_small_moves_424.pdb,100.0,0.00880791025247,0.297,0.239,-48.330,23.7167362141,-28.2578839781,2,-69.002,-200.889,-506.54,680.620,-2764.733,-32.0917257793,-1.93251365342,4.03584214392,-42.0680377699,0.0,26.675,-111.099,-314.758,2.31184568325,-19.1400955907,98.97,-2548.49370362,-5.889,1558.430,46.0,-32.392,464,-52.706,549.072,-2561.55008512,278.432,60.812,2,0.413,0.63054704206,-61.735
50_sugar_small_moves_443.pdb,100.0,0.263075755781,0.298,0.239,-48.330,-9.10623597969,-7.6140453647,-3,-68.617,-200.580,-485.9,681.633,-2761.675,45.8439196296,4.07194990636,4.56146676211,-41.8137699243,0.0,24.072,-111.099,-312.718,2.40203213263,-13.1356320309,96.91,-2470.55805822,-5.889,1558.200,58.0,-32.392,459,-49.739,549.917,-2594.37305732,283.654,60.812,2,8.051,0.786014841896,-61.735
50_sugar_small_moves_711.pdb,75.0,-0.0622041004731,0.296,1.114,-48.330,41.9492290393,226.156332624,-6,-67.498,-200.813,-252.13,684.532,-2776.448,17.7219646265,14.2915814334,2.86760497672,-42.1390497806,0.0,45.115,-111.099,-311.682,9.13125395106,-2.9160005038,86.6,-2498.68001322,-5.889,1582.941,50.0,-32.392,456,-49.591,551.784,-2543.3175923,325.377,60.812,1,161.378,6.25036283776,-61.735
50_sugar_small_moves_829.pdb,100.0,0.267661864846,0.296,0.331,-48.330,27.1759632775,-8.73932530758,-7,-67.665,-200.863,-487.02,681.408,-2763.533,-5.61079915211,5.27823347954,3.00099412219,-41.8091838153,0.0,25.283,-111.099,-312.645,1.66307453605,-11.9293484577,100.0,-2522.012777,-5.889,1558.227,54.0,-32.392,455,-49.609,550.589,-2558.09085806,283.734,60.812,2,6.057,0.728958414821,-61.735
50_sugar_small_moves_826.pdb,87.5,0.37327814074,0.298,0.331,-48.330,38.2933227617,-14.3132000045,-2,-68.770,-200.663,-492.6,681.246,-2763.871,-7.96972411296,1.29890577872,2.11254883861,-41.7035675394,0.0,27.945,-111.099,-314.555,3.14060406993,-15.9086761585,96.91,-2524.37170196,-5.889,1559.469,56.0,-32.392,460,-51.388,550.109,-2546.97349857,282.257,60.812,2,3.628,0.804239360668,-61.735
50_sugar_small_moves_661.pdb,100.0,0.130206213583,0.298,0.301,-48.330,18.9442768794,-18.9703334632,-2,-68.454,-200.699,-497.25,681.843,-2760.427,21.4102331869,0.678305006097,2.41391248109,-41.9466394665,0.0,26.866,-111.099,-313.585,3.10327785459,-16.5292769311,98.97,-2494.99174466,-5.889,1556.247,64.0,-32.392,460,-52.193,550.077,-2566.32254446,280.388,60.812,2,0.717,0.629253089845,-61.735
50_sugar_small_moves_864.pdb,100.0,0.096315554888,0.296,0.331,-48.330,0.85781769186,-19.7920294407,0,-68.559,-200.852,-498.08,681.357,-2764.339,-76.4289608433,-0.965093129027,3.70975385508,-41.9805301252,0.0,25.702,-111.099,-313.453,2.49163286821,-18.1726750663,100.0,-2592.83093869,-5.889,1557.984,48.0,-32.392,462,-52.685,550.710,-2584.40900364,280.152,60.812,2,3.915,0.694301556343,-61.735
50_sugar_small_moves_894.pdb,100.0,3.44251867461,0.298,0.392,-48.330,-57.5104217526,51.8075027227,-9,-66.203,-200.091,-426.48,683.193,-2757.209,127.220532079,11.4803509061,4.07607877678,-38.6343270055,0.0,39.712,-111.099,-311.931,5.32692862315,-5.72723103119,81.44,-2389.18144577,-5.889,1556.825,60.0,-32.392,453,-48.721,553.424,-2642.77724309,299.272,60.812,1,23.195,2.15982632405,-61.735
50_sugar_small_moves_94.pdb,100.0,0.188114549961,0.296,0.800,-48.330,-13.1804317443,-9.34408910658,-3,-68.682,-200.091,-487.63,681.572,-2758.044,0.695098706437,3.20110120985,2.06647461804,-41.8887311302,0.0,26.067,-111.099,-312.250,2.6968174086,-14.0064807274,96.91,-2515.70687914,-5.889,1552.603,62.0,-32.392,459,-50.857,550.454,-2598.44725308,281.546,60.812,2,7.592,0.655882515403,-61.735
50_sugar_small_moves_801.pdb,100.0,0.0284992904917,0.296,0.393,-48.330,25.4344737499,-19.4358678233,-4,-67.567,-200.912,-497.72,681.265,-2762.913,60.1180987955,1.27470313167,3.46693271561,-42.0483463896,0.0,26.354,-111.099,-313.315,3.03809618882,-15.9328788056,96.91,-2456.28387905,-5.889,1556.634,48.0,-32.392,458,-51.613,550.464,-2559.83234759,280.310,60.812,1,1.517,0.696050216773,-61.735
50_sugar_small_moves_106.pdb,87.5,0.0269858021425,0.298,0.239,-48.330,51.6581621163,-9.18326424462,-5,-68.251,-200.826,-487.47,682.140,-2762.111,28.0598755809,3.84829185544,3.667852504,-42.049859878,0.0,28.596,-111.099,-312.815,1.77079072028,-13.3592900818,97.94,-2488.34210226,-5.889,1556.579,54.0,-32.392,457,-50.168,549.957,-2533.60865922,283.861,60.812,2,3.666,0.829729285606,-61.735
50_sugar_small_moves_871.pdb,100.0,0.243625834963,0.296,0.331,-48.330,23.5428393644,-15.214691705,-2,-68.220,-200.848,-493.5,681.600,-2761.309,-1.71494500898,0.804189586641,3.06537623607,-41.8332198452,0.0,27.726,-111.099,-313.662,2.96756082349,-16.4033923506,98.97,-2518.11692285,-5.889,1557.391,62.0,-32.392,460,-51.507,550.206,-2561.72398197,279.877,60.812,2,3.254,0.672229015231,-61.735
50_sugar_small_moves_139.pdb,100.0,0.552042383998,0.298,0.331,-48.330,-24.6349035128,-19.1813875049,0,-69.117,-200.764,-497.47,681.495,-2762.194,-43.1561979087,1.26740687399,2.77048694607,-41.5248032961,0.0,25.031,-111.099,-313.148,1.95271424515,-15.9401750632,98.97,-2559.55817575,-5.889,1556.139,50.0,-32.392,462,-51.386,550.139,-2609.90172485,280.438,60.812,2,3.908,0.632445422904,-61.735
50_sugar_small_moves_970.pdb,100.0,0.00852114525696,0.299,0.432,-48.330,-16.0630175369,-8.04481801643,-4,-68.348,-200.091,-486.33,682.414,-2764.781,-95.5668606713,4.81421676747,3.84939227872,-42.0683245349,0.0,29.514,-111.099,-313.310,8.75780515457,-12.3933651698,96.91,-2611.96883852,-5.889,1557.827,48.0,-32.392,458,-49.830,550.527,-2601.32983887,280.978,60.812,2,6.674,0.793034498613,-61.735
50_sugar_small_moves_174.pdb,87.5,0.127643577472,0.298,0.862,-48.330,58.8797682987,20.3524656775,-1,-67.191,-202.196,-457.93,682.017,-2765.978,-21.7843697224,3.88302132573,3.27875932382,-41.9492021027,0.0,29.113,-111.099,-314.626,10.1651001,-13.3245606115,89.69,-2538.18634757,-5.889,1562.909,52.0,-32.392,461,-51.463,557.165,-2526.38705304,297.787,60.812,1,12.004,1.9953119136,-61.735
50_sugar_small_moves_168.pdb,100.0,0.695070070251,0.298,0.239,-48.330,-5.09578739639,-13.1477895615,-2,-68.350,-200.691,-491.43,681.723,-2763.392,-55.4679598918,4.53273355902,3.31020755721,-41.3817756099,0.0,26.712,-111.099,-314.031,2.73769453734,-12.6748483782,97.94,-2571.86993774,-5.889,1560.214,56.0,-32.392,460,-51.124,550.397,-2590.36260873,283.312,60.812,2,1.894,0.710482429116,-61.735
50_sugar_small_moves_885.pdb,87.5,0.273200969723,0.296,0.331,-48.330,37.1844569103,-15.2743387427,3,-68.925,-201.467,-493.56,680.742,-2760.744,52.6321721942,0.979838522953,3.57803720034,-41.8036447104,0.0,22.612,-111.099,-314.533,4.08681678859,-16.2277434143,97.94,-2463.76980565,-5.889,1559.351,38.0,-32.392,465,-52.561,556.764,-2548.08236443,279.661,60.812,2,3.548,0.915392975363,-61.735
