filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,Fc_glycan_rmsd_after_reset,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,71.43,0.198577963405,0.236,0.215,-48.447,18.0519171823,314.328308713,-1,-60.377,-202.237,-234.38,669.837,-2750.212,347.325539938,16.4444452831,6.02595822995,-39.0470743596,0.0,36.644,-109.226,-297.761,8.37704549841,-3.71636007508,72.28,-2169.07643791,-5.845,1565.159,64.0,-32.392,448,-46.137,505.594,-2555.31111482,332.316,59.510,1,213.031,5.51563898816,-64.288
50_sugar_small_moves_375.pdb,100.0,0.630069034857,0.254,0.215,-48.447,-26.145466588,28.464708347,-3,-62.002,-202.115,-520.24,664.243,-2744.569,-16.9679668757,9.37230065596,5.31547668215,-38.6155832881,0.0,31.853,-109.226,-296.092,5.71112601172,-10.7885047023,93.07,-2533.36994472,-5.845,1543.936,58.0,-32.392,446,-45.481,499.656,-2599.50849859,286.833,59.510,1,3.713,1.27613577144,-64.288
50_sugar_small_moves_109.pdb,85.71,0.522411464366,0.244,0.215,-48.447,-20.7253504744,72.7634192325,-8,-60.600,-201.913,-475.95,667.075,-2740.536,14.648951777,15.256732879,6.78565959353,-38.7232408586,0.0,37.062,-109.226,-293.603,9.49052547085,-4.90407247917,86.14,-2501.75302607,-5.845,1542.803,60.0,-32.392,441,-43.921,503.480,-2594.08838248,290.464,59.510,1,23.970,2.31414031044,-64.288
50_sugar_small_moves_137.pdb,100.0,0.123414109159,0.254,0.127,-48.447,-67.5991074469,29.0541409251,-3,-61.576,-202.983,-519.66,665.156,-2744.148,-1.11685558093,7.22358379299,7.45087536824,-39.1222382138,0.0,26.884,-109.226,-297.093,8.54743937681,-12.9372215652,92.08,-2517.51883343,-5.845,1545.428,58.0,-32.392,446,-46.057,504.695,-2640.96213945,283.551,59.510,1,6.794,1.37205033102,-64.288
50_sugar_small_moves_206.pdb,100.0,0.512073159893,0.244,0.215,-48.447,-46.6832911305,36.9733406863,-3,-61.096,-202.602,-511.74,666.030,-2748.165,-6.12016379806,10.0297751072,6.75468311039,-38.7335791631,0.0,32.630,-109.226,-297.354,10.1608448168,-10.131030251,92.08,-2522.52214164,-5.845,1552.085,52.0,-32.392,446,-45.642,503.333,-2620.04632314,284.986,59.510,2,4.287,1.15958266741,-64.288
50_sugar_small_moves_550.pdb,71.43,0.71560838966,0.236,0.215,-48.447,-2.06769544339,246.408447876,-4,-61.405,-202.102,-302.3,669.248,-2757.382,78.7134261797,34.2079623112,8.03330045367,-38.5300439333,0.0,33.350,-109.226,-297.860,15.224545531,14.047156953,78.22,-2437.68855167,-5.845,1561.510,64.0,-32.392,445,-45.369,500.474,-2575.43072745,358.354,59.510,1,139.118,4.8994923439,-64.288
50_sugar_small_moves_615.pdb,100.0,0.434575472411,0.254,0.215,-48.447,-15.2327915613,40.2971496211,-3,-61.559,-201.913,-508.41,665.731,-2745.050,126.157401611,11.5502522416,7.38443145242,-38.8110768506,0.0,34.510,-109.226,-296.497,8.63052038053,-8.6105531166,87.13,-2390.24457623,-5.845,1544.805,64.0,-32.392,446,-45.405,498.442,-2588.59582357,288.617,59.510,1,10.126,1.45095652366,-64.288
50_sugar_small_moves_65.pdb,100.0,0.681437388585,0.246,0.127,-48.447,-14.5558520362,37.8683790435,-6,-61.428,-201.913,-510.84,665.531,-2743.264,109.822624674,9.62244566741,5.18540353899,-38.5642149344,0.0,31.624,-109.226,-295.717,7.46308014918,-10.5383596908,86.14,-2406.57935317,-5.845,1541.503,56.0,-32.392,443,-44.947,502.915,-2587.91888404,285.814,59.510,1,9.354,1.50165744247,-64.288
50_sugar_small_moves_668.pdb,100.0,0.297660648301,0.246,0.215,-48.447,-13.8215493563,69.1270361931,-9,-60.076,-201.913,-479.58,666.700,-2744.121,13.1369071113,16.9439804525,7.13343826559,-38.9479916747,0.0,43.149,-109.226,-294.361,11.0797724167,-3.2168249057,88.12,-2503.26507073,-5.845,1542.887,66.0,-32.392,440,-43.366,498.951,-2587.18458136,296.274,59.510,1,16.519,1.86533329847,-64.288
50_sugar_small_moves_679.pdb,85.71,0.710222373882,0.244,0.327,-48.447,-75.7750984494,40.2781105842,-1,-62.229,-202.950,-508.43,668.135,-2746.642,-1.77354928679,8.42115830697,5.62848127543,-38.5354299491,0.0,33.022,-109.226,-296.317,5.23720932942,-11.7396470512,93.07,-2518.17552713,-5.845,1549.577,54.0,-32.392,448,-45.463,504.293,-2649.13813045,285.801,59.510,2,4.457,1.42231835738,-64.288
50_sugar_small_moves_252.pdb,100.0,0.984698351853,0.246,0.168,-48.447,-106.885731993,41.2905182837,-4,-61.483,-201.913,-507.42,665.574,-2741.246,-33.2727862056,13.822222809,8.5267947144,-38.2609539711,0.0,35.722,-109.226,-295.788,9.62781922761,-6.33858254926,86.14,-2549.67476405,-5.845,1543.543,60.0,-32.392,445,-45.196,499.535,-2680.248764,287.363,59.510,0,6.744,1.56725578498,-64.288
50_sugar_small_moves_931.pdb,100.0,0.462619843272,0.236,0.311,-48.447,-51.5934608217,28.2650554924,-2,-61.481,-202.795,-520.44,664.873,-2747.323,-4.88472666926,8.01272281453,5.79811199924,-38.7830324797,0.0,29.343,-109.226,-297.537,5.01865985765,-12.1480825437,94.06,-2521.28670451,-5.845,1546.817,54.0,-32.392,447,-46.041,499.695,-2624.95649283,289.276,59.510,2,4.869,1.0656602739,-64.288
50_sugar_small_moves_308.pdb,100.0,2.17650803778,0.254,0.210,-48.447,-10.565540674,107.108146038,-6,-60.422,-201.913,-441.6,669.378,-2737.302,89.2934492079,17.022065886,8.0865045202,-37.0691442852,0.0,40.803,-109.226,-296.828,11.4160481172,-3.13873947219,80.2,-2427.10852864,-5.845,1545.438,60.0,-32.392,443,-45.217,503.827,-2583.92857268,311.564,59.510,0,29.293,2.41791130082,-64.288
50_sugar_small_moves_887.pdb,85.71,0.269447536672,0.245,0.311,-48.447,28.8176509999,68.8887404869,-8,-60.742,-201.913,-479.82,665.826,-2739.320,185.936604008,12.7105294332,5.63457689079,-38.9762047863,0.0,38.549,-109.226,-295.048,9.00981757517,-7.45027592505,77.23,-2330.46537384,-5.845,1540.327,62.0,-32.392,441,-44.993,503.262,-2544.54538101,295.245,59.510,1,19.116,2.30849251504,-64.288
50_sugar_small_moves_281.pdb,100.0,0.733858894439,0.246,0.215,-48.447,-18.8685761319,39.414267608,-7,-61.217,-201.913,-509.3,666.490,-2741.938,105.411983729,13.1541880869,5.5474634216,-38.5117934285,0.0,30.804,-109.226,-294.943,5.51604925364,-7.00661727128,84.16,-2410.98999412,-5.845,1539.562,56.0,-32.392,442,-45.215,501.127,-2592.23160814,288.644,59.510,0,9.530,1.3418954782,-64.288
