filename,Fc_glycan_to_FcR_glycan_Fnat_tot_contacts_recovered_10A,delta_std_interface_interaction_energy,yhh_planarity,pro_close,hbond_sr_bb,delta_interface_sasa,delta_total_score,delta_hbonds,hbond_sc,hbond_lr_bb,total_score,fa_dun,fa_atr,delta_Fc_glycan_sasa_contributed,delta_pseudo_interface_energy,std_interface_interaction_energy,rmsd,sugar_bb,p_aa_pp,fa_elec,Fc_glycan_rmsd_after_packmin,pseudo_interface_energy,Fc_glycan_to_Fc_protein_Fnat_tot_contacts_recovered_10A,Fc_glycan_sasa_contributed,dslf_fa13,fa_sol,MonteCarlo_acceptance_rate,ref,hbonds,hbond_bb_sc,fa_intra_rep,interface_sasa,fa_rep,omega,GlcNAc_to_its_Phe_contacts_5A,atom_pair_constraint,Fc_glycan_rmsd,rama
50_sugar_small_moves_84.pdb,100.0,0.349354122047,0.254,0.327,-48.447,-31.9853305081,9.59029787933,-4,-63.572,-201.913,-539.12,664.387,-2746.435,-47.89767571,7.11323747752,-38.8962982009,0.0,26.449,-109.226,-296.897,0.00297191596,-13.0475678807,95.05,-2564.29965355,-5.845,1543.459,46.0,-32.392,445,-44.955,497.846,-2605.34836251,281.790,59.510,2,0.827,0.697527292133,-64.288
50_sugar_small_moves_375.pdb,100.0,0.401018524057,0.246,0.167,-48.447,-19.6705975868,5.84809194018,0,-62.489,-202.815,-542.86,664.207,-2750.850,-167.545999867,4.56320819396,-38.8446337989,0.0,26.397,-109.226,-297.833,0.00297191596,-15.5975971643,99.01,-2683.94797771,-5.845,1547.365,42.0,-32.392,449,-47.416,498.262,-2593.03362959,281.977,59.510,2,0.608,0.778715326142,-64.288
50_sugar_small_moves_109.pdb,100.0,0.511639709393,0.254,0.167,-48.447,-24.0939678001,7.99583891591,-1,-62.486,-202.566,-540.71,665.415,-2748.051,-87.7419833722,4.97424093071,-38.7340126136,0.0,26.246,-109.226,-296.959,0.00297191596,-15.1865644275,97.03,-2604.14396122,-5.845,1545.781,38.0,-32.392,448,-47.217,498.439,-2597.45699981,280.379,59.510,2,0.571,0.573414621242,-64.288
50_sugar_small_moves_137.pdb,100.0,0.619624441537,0.246,0.167,-48.447,-40.8693977096,11.432717865,-3,-62.198,-201.913,-537.28,663.936,-2745.588,-92.0436847441,8.10216665628,-38.6260278814,0.0,26.654,-109.226,-297.182,0.00297191596,-12.0586387019,94.06,-2608.44566259,-5.845,1543.455,48.0,-32.392,446,-45.200,498.691,-2614.23242971,280.962,59.510,2,1.380,0.614713371484,-64.288
50_sugar_small_moves_206.pdb,100.0,0.453819631704,0.254,0.167,-48.447,-39.0973532846,12.0844169534,-3,-62.006,-202.731,-536.63,664.529,-2748.396,-77.7483909727,6.22496366878,-38.7918326913,0.0,27.526,-109.226,-297.091,0.00297191596,-13.9358416894,98.02,-2594.15036882,-5.845,1545.413,30.0,-32.392,446,-46.618,498.652,-2612.46038529,281.503,59.510,1,2.859,0.524928508013,-64.288
50_sugar_small_moves_550.pdb,100.0,-0.797188589032,0.246,0.167,-48.447,9.16821456068,7.67590670301,1,-63.575,-201.913,-541.03,665.095,-2751.222,-84.8406178369,6.08604019101,-40.042840912,0.0,25.374,-109.226,-300.838,0.00297191596,-14.0747651672,98.02,-2601.24259568,-5.845,1551.429,36.0,-32.392,450,-46.898,498.221,-2564.19481744,283.006,59.510,2,0.561,0.716943544243,-64.288
50_sugar_small_moves_615.pdb,100.0,-0.888019430918,0.254,0.167,-48.447,4.90689622919,6.47930226465,3,-63.720,-202.739,-542.23,666.953,-2757.593,-150.524385449,4.37332818437,-40.1336717539,0.0,24.720,-109.226,-301.740,0.00297191596,-15.7874771738,98.02,-2666.92636329,-5.845,1556.104,38.0,-32.392,452,-47.429,499.302,-2568.45613578,283.133,59.510,2,1.046,0.720109017314,-64.288
50_sugar_small_moves_65.pdb,100.0,0.289943763656,0.246,0.280,-48.447,-31.5776138379,11.0427777634,-2,-61.520,-202.828,-537.67,665.447,-2749.532,-59.1682828596,5.92700852278,-38.9557085593,0.0,25.843,-109.226,-296.452,0.00297191596,-14.2337968354,98.02,-2575.5702607,-5.845,1547.198,42.0,-32.392,447,-47.406,498.221,-2604.94064584,283.155,59.510,2,0.371,0.597339457102,-64.288
50_sugar_small_moves_668.pdb,100.0,1.0500110847,0.254,0.167,-48.447,-18.5651137956,9.86043684144,-1,-62.659,-201.913,-538.85,664.949,-2746.527,-63.6433613609,5.54594989132,-38.1956412383,0.0,26.288,-109.226,-297.481,0.00297191596,-14.6148554669,95.05,-2580.04533921,-5.845,1544.432,42.0,-32.392,448,-47.860,498.691,-2591.9281458,280.861,59.510,2,2.634,0.424260204851,-64.288
50_sugar_small_moves_679.pdb,100.0,0.574055167419,0.254,0.167,-48.447,-39.4243659302,6.65347549502,-1,-62.820,-202.687,-542.06,665.444,-2748.948,-139.730602251,4.35054563782,-38.6715971556,0.0,26.016,-109.226,-297.482,0.00297191596,-15.8102597204,98.02,-2656.1325801,-5.845,1547.248,56.0,-32.392,448,-47.558,498.372,-2612.78739794,279.511,59.510,2,1.113,0.524740797297,-64.288
50_sugar_small_moves_252.pdb,100.0,0.240691259349,0.254,0.167,-48.447,-35.4552777717,8.38779907972,0,-62.578,-202.190,-540.32,665.159,-2749.827,-97.9895328135,4.16279702583,-39.0049610636,0.0,27.764,-109.226,-296.929,0.00297191596,-15.9980083324,98.02,-2614.39151066,-5.845,1546.197,40.0,-32.392,449,-47.527,498.115,-2608.81830978,280.091,59.510,2,1.670,0.473198645498,-64.288
50_sugar_small_moves_931.pdb,100.0,0.62125786085,0.254,0.167,-48.447,-23.8667259315,6.50352082732,-1,-62.370,-202.784,-542.21,664.945,-2748.340,-122.377134807,5.0952497606,-38.6243944621,0.0,26.050,-109.226,-297.375,0.00297191596,-15.0655555976,100.0,-2638.77911265,-5.845,1545.413,44.0,-32.392,448,-47.333,498.323,-2597.22975794,280.341,59.510,2,1.190,0.555603047069,-64.288
